stock_id,date,open,high,low,close,volume,turnover
0050,2025-10-01,57.9,58.75,57.9,58.1,77291614,4503366313.0
0050,2025-10-02,59.0,59.25,58.85,59.2,73803137,4361065414.0
0050,2025-10-03,59.2,60.1,59.05,60.05,76083554,4545707938.0
0051,2025-10-01,85.85,86.9,85.85,86.15,68085,5887145.0
0051,2025-10-02,86.5,87.0,86.5,86.6,95923,8322520.0
0051,2025-10-03,86.6,86.95,86.4,86.7,82431,7141111.0
0052,2025-10-01,229.75,233.25,229.55,229.95,1436033,331845190.0
0052,2025-10-02,234.45,235.5,233.3,234.95,1743270,408864581.0
0052,2025-10-03,234.9,239.25,234.35,239.1,1004389,238093119.0
0053,2025-10-01,126.3,127.95,126.3,127.0,15533,1977672.0
0053,2025-10-02,128.0,129.6,128.0,129.6,27722,3576875.0
0053,2025-10-03,129.5,131.65,129.5,131.2,20328,2656576.0
0055,2025-10-01,30.9,31.0,30.84,30.84,47382,1462893.0
0055,2025-10-02,30.88,30.9,30.85,30.85,78795,2432907.0
0055,2025-10-03,30.96,30.96,30.6,30.65,98627,3027852.0
0056,2025-10-01,36.87,37.15,36.73,36.81,48977483,1808927456.0
0056,2025-10-02,37.0,37.06,36.97,37.04,47946651,1774939479.0
0056,2025-10-03,37.04,37.07,37.0,37.04,39103080,1448192709.0
0057,2025-10-01,172.3,172.3,170.75,170.85,46605,7966052.0
0057,2025-10-02,173.55,174.0,173.55,173.9,12134,2108613.0
0057,2025-10-03,174.1,176.4,174.1,176.4,11328,1992134.0
0061,2025-10-01,22.03,22.23,22.03,22.16,157085,3483448.0
0061,2025-10-02,22.13,22.38,22.13,22.28,399230,8904085.0
0061,2025-10-03,22.33,22.34,22.15,22.16,264044,5871904.0
006203,2025-10-01,105.45,107.0,105.45,106.25,4539,481692.0
006203,2025-10-02,107.35,107.9,107.35,107.6,6145,660102.0
006203,2025-10-03,107.75,109.45,107.75,109.15,21254,2318012.0
006204,2025-10-01,132.4,133.7,132.4,132.95,19172,2547928.0
006204,2025-10-02,,,,,1720,231401.0
006204,2025-10-03,135.8,136.2,135.8,136.2,3308,449209.0
006205,2025-10-01,37.74,37.86,37.74,37.75,250189,9464748.0
006205,2025-10-02,37.79,38.12,37.76,37.98,661846,25138335.0
006205,2025-10-03,37.98,38.02,37.76,37.78,721957,27358892.0
006206,2025-10-01,34.56,34.66,34.51,34.53,108882,3762806.0
006206,2025-10-02,34.63,34.82,34.56,34.68,236618,8204886.0
006206,2025-10-03,34.73,34.77,34.48,34.48,155534,5381839.0
006207,2025-10-01,29.33,29.4,29.28,29.3,336242,9854821.0
006207,2025-10-02,29.32,29.55,29.31,29.45,510262,15013946.0
006207,2025-10-03,29.45,29.45,29.25,29.27,161790,4743457.0
006208,2025-10-01,135.4,137.15,135.35,135.35,9192000,1250364302.0
006208,2025-10-02,137.95,138.45,137.5,138.2,9427450,1301588092.0
006208,2025-10-03,138.1,140.4,138.1,140.4,9129523,1272366848.0
00625K,2025-10-01,,,,,0,0.0
00625K,2025-10-02,,,,,0,0.0
00625K,2025-10-03,,,,,0,0.0
00631L,2025-10-01,299.75,305.45,297.2,298.2,3885535,1170400705.0
00631L,2025-10-02,307.6,308.55,305.8,306.7,4164874,1279895735.0
00631L,2025-10-03,306.85,314.0,306.75,314.0,4337512,1349122863.0
00632R,2025-10-01,18.37,18.45,18.19,18.41,56122294,1027793765.0
00632R,2025-10-02,18.12,18.19,18.1,18.15,65085047,1180365579.0
00632R,2025-10-03,18.16,18.16,17.93,17.93,69271041,1248323779.0
00633L,2025-10-01,48.7,48.73,48.43,48.44,979408,47610573.0
00633L,2025-10-02,48.62,49.52,48.53,49.24,4179101,205633975.0
00633L,2025-10-03,49.25,49.25,48.55,48.59,2240437,109402139.0
00634R,2025-10-01,3.29,3.29,3.28,3.29,16719,54956.0
00634R,2025-10-02,3.28,3.29,3.25,3.27,253123,824709.0
